"נתונים היסטוריים - ת""א - 100",,,,,,
מתאריך 01/01/2000 עד תאריך 16/10/2015, תדירות נתונים: חודשי,,,,,
,,,,,,
תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,"שווי שוק כולל(אלפי ש""ח) * "
15/10/2015,1316.46,1327.64,1331.37,1334.09,1322.07,
30/09/2015,1302.63,1305.47,1300.4,1310.22,1291.86,695391081
31/08/2015,1407.73,1389.28,1386.63,1392.2,1380.66,763332709
30/07/2015,1483.3,1491.54,1478.61,1491.54,1475.6,807316019
30/06/2015,1412.62,1410.29,1418.31,1424.63,1408.26,751279559
31/05/2015,1453.35,1445.87,1459.45,1459.45,1443.04,783294475
30/04/2015,1433.11,1427.65,1430.15,1438.46,1426.46,775835414
31/03/2015,1414.19,1416.36,1417.28,1417.72,1408.7,777149721
26/02/2015,1335.72,1342.45,1343.78,1346.01,1337.91,726227875
29/01/2015,1277.08,1271.83,1269.71,1275.34,1269.3,693835163
31/12/2014,1275.58,1279.18,1288.93,1289.43,1277.1,699007108
30/11/2014,1311.27,1312.11,1306.94,1312.11,1305.28,703843967
30/10/2014,1284.87,1279.09,1276.87,1284.58,1265.3,684427230
30/09/2014,1306.89,1307.25,1305.99,1312.44,1305.23,687013887
31/08/2014,1264.48,1267.13,1264.84,1267.52,1263.57,665004368
31/07/2014,1254.17,1254.09,1246.1,1254.09,1245.36,657530058
30/06/2014,1250.56,1250.62,1252.95,1252.95,1247.42,656174641
29/05/2014,1261.5,1261.88,1256.99,1262.53,1256.74,649320827
30/04/2014,1256.1,1254.39,1251.12,1256.86,1248.59,646644707
31/03/2014,1281.6,1281.2,1282.83,1283.73,1276.22,666692090
27/02/2014,1253.35,1259.25,1256.53,1259.25,1250.62,652796256
30/01/2014,1203.55,1190.17,1199.66,1202.32,1189.49,624759054
31/12/2013,1198.57,1201.29,1207.69,1208.2,1199.67,617726457
28/11/2013,1215.98,1216.35,1219.1,1220.22,1215.74,595445015
31/10/2013,1158.64,1153.2,1161.77,1161.77,1151.7,568964521
30/09/2013,1147.99,1142.97,1142.51,1145.2,1137.32,547603756
29/08/2013,1069.69,1077.6,1081.68,1081.68,1071.2,526772056
31/07/2013,1093.16,1094.03,1094.06,1094.26,1088.86,538347911
30/06/2013,1069.56,1072.87,1071.45,1073.4,1069.61,534376420
30/05/2013,1109.12,1105.86,1107.9,1110.35,1101.76,554025777
30/04/2013,1073.9,1076.57,1082.95,1082.95,1074.53,543320088
28/03/2013,1107.23,1105.04,1100.04,1105.94,1099,556713037
28/02/2013,1084.72,1090.81,1090.67,1091.66,1087.95,548895284
31/01/2013,1047.59,1048.04,1046.72,1051.81,1043.86,533538196
31/12/2012,1050.69,1048.32,1049.06,1051.92,1043.24,530410361
29/11/2012,1086.51,1088.9,1089.61,1093.73,1087.03,554023317
31/10/2012,1072.85,1082.04,1076.41,1082.04,1072.28,550512945
27/09/2012,1041.76,1043.75,1054.58,1057.03,1041.08,538425094
30/08/2012,995.81,995.54,999.59,1000.96,993.9,514182634
